"symbol","nimi","sektor","hind","tootlus","kogus","kasum_aktsia_kohta","dividend_aktsia_kohta"
"FTNT","Fortinet","Information Technology",314.33,5.8350124,2544479,3.322,0
"FTV","Fortive","Industrials",64.39,-2.513253,5889367,1.634,0.28
"GD","General Dynamics","Industrials",212.29,0.056556117,1391105,11.55,4.76
"GE","GE","Industrials",99.01,0.70179254,6085251,-6.16,0.32
"GILD","Gilead Sciences","Health Care",63.9,-2.2786326,12392843,4.93,2.84
"GIS","General Mills","Consumer Staples",67.92,-1.6365024,2785147,3.628,2.04
"GL","Globe Life","Financials",103.87,1.4157436,380012,7.22,0
"GLW","Corning","Information Technology",42.19,-0.9856887,3588515,1.28,0.96
"GM","GM","Consumer Discretionary",51.29,-3.4268494,22130814,6.7,0
"GNRC","Generac","Industrials",279.93,1.6301155,591403,8.233,0
"GOOG","Alphabet (Class C)","Communication Services",2860.32,0.25622267,2461220,112.197,0
"GOOGL","Alphabet (Class A)","Communication Services",2865.86,0.1418708,2619922,112.197,0
"GPC","Genuine Parts","Consumer Discretionary",129.82,-2.214513,497146,5.609,3.235
"GPN","Global Payments","Information Technology",145.79,0.8717875,1859070,3.167,0.89
"GPS","Gap","Consumer Discretionary",17.01,-0.5844558,7441358,1.323,0.24
"GRMN","Garmin","Consumer Discretionary",124.76,-0.27177966,585329,5.858,2.68
"GS","Goldman Sachs","Financials",367.6,2.429782,3675064,59.45,6.5
"GWW","Grainger","Industrials",487.68,-3.9205632,451773,19.828,6.39
"HAL","Halliburton","Energy",31.94,2.306218,16085368,1.63,0.18
"HAS","Hasbro","Consumer Discretionary",93.92,0.14928491,1391314,3.278,2.72
"HBAN","Huntington Bancshares","Financials",15.83,1.6698794,8448773,0.9,0.605
"HCA","HCA Healthcare","Health Care",239.08,-0.739018,1388855,21.159,1.92
"HD","Home Depot","Consumer Discretionary",359.67,-1.4089483,3314443,14.955,6.6
"HES","Hess Corporation","Energy",95.63,3.9456491,3871604,1.807,1
"HIG","The Hartford","Financials",70.52,-2.3133478,3865032,6.858,0
"HII","Huntington Ingalls Industries","Industrials",182.61,-0.5012794,259490,16.668,4.56
"HLT","Hilton Worldwide","Consumer Discretionary",145.5,0.93652874,2990697,0.14,0
"HOLX","Hologic","Health Care",74.74,1.8811305,1950592,6.649,0
"HON","Honeywell","Industrials",191.5,-0.12517236,5479941,7.91,3.77
"HPE","Hewlett Packard Enterprise","Information Technology",16.84,-0.05934854,6434413,2.58,0.48
"HPQ","HP","Information Technology",37.6,-0.3181409,6423760,5.33,0.775
"HRL","Hormel","Consumer Staples",46.98,-1.7154806,1410658,1.66,0.98
"HSIC","Henry Schein","Health Care",76.13,-0.03939917,516738,4.393,0
"HST","Host Hotels & Resorts","Real Estate",17.46,2.2248194,5843396,-0.56,0
"HSY","The Hershey Company","Consumer Staples",202.78,-0.5590425,1234732,7.11,3.41
"HUM","Humana","Health Care",429.85,0.85404253,1859256,22.67,2.8
"HWM","Howmet Aerospace","Industrials",32.18,-1.0455109,4491523,0.59,0.04
"IBM","IBM","Information Technology",137.15,-0.45725423,4027510,6.349,6.56
"ICE","Intercontinental Exchange","Financials",129.76,1.4621903,3473455,7.18,1.32
"IDXX","Idexx Laboratories","Health Care",526.44,-2.3211818,509966,8.6,0
"IEX","IDEX Corporation","Industrials",197.48,-2.5367682,579228,5.88,2.16
"IFF","International Flavors & Fragrances","Materials",127.1,-1.4652352,1873652,1.167,3.1
"ILMN","Illumina","Health Care",358.38,0.48225233,988245,6.109,0
"INCY","Incyte","Health Care",72.69,-0.49281394,1322119,2.412,0
"INFO","IHS Markit","Industrials",116.76,0.404163,1590893,3.01,0.8
"INTC","Intel","Information Technology",48.01,0.19826235,31914281,4.86,1.39
"INTU","Intuit","Information Technology",544.02,1.5739636,1504542,7.581,2.45
"IP","International Paper","Materials",46.79,-1.6190085,2947888,4.466,2
"IPG","Interpublic Group","Communication Services",36.32,-0.6292737,3133039,1.771,1.065
"IPGP","IPG Photonics","Information Technology",149.95,1.7437861,249122,4.869,0
"IQV","IQVIA","Health Care",249.89,-0.11991008,605618,3.929,0
"IR","Ingersoll Rand","Industrials",54.62,-0.87114257,2130290,0.987,0
"IRM","Iron Mountain","Real Estate",45.64,-0.544781,1384011,2.197,2.474
"ISRG","Intuitive Surgical","Health Care",285.73,0.045519914,1620737,4.66,0
"IT","Gartner","Information Technology",294.64,1.6245376,410060,8.025,0
"ITW","Illinois Tool Works","Industrials",228.92,-5.18948,1504741,8.51,4.72
"IVZ","Invesco","Financials",22.83,2.6067412,5069787,2.99,0.68
"J","Jacobs Engineering Group","Industrials",127.67,-0.9926319,767411,3.196,0.82
"JBHT","J. B. Hunt","Industrials",189.6,-1.9191928,520182,7.137,1.18
"JCI","Johnson Controls","Industrials",67.47,-2.0470326,6623488,2.191,1.15
"JKHY","Jack Henry & Associates","Information Technology",168,0.59880245,487438,4.302,1.81
"JNJ","Johnson & Johnson","Health Care",171.63,-0.6540806,6391850,7.808,4.19
"JNPR","Juniper Networks","Information Technology",35.13,1.0353771,4222229,0.76,0.8
"JPM","JPMorgan Chase","Financials",152.56,2.5958312,16646340,15.36,3.8
"K","Kellogg's","Consumer Staples",61.58,-2.9777837,2957670,3.668,2.3
"KEY","KeyCorp","Financials",26.17,2.1866436,6638941,2.634,0.75
"KEYS","Keysight Technologies","Information Technology",166.21,0.1989401,1057839,4.78,0
"KHC","Kraft Heinz","Consumer Staples",34.75,-3.041295,12899267,1.858,1.6
"KIM","Kimco Realty","Real Estate",23.83,-0.87354815,4777698,2.019,0.67
"KLAC","KLA Corporation","Information Technology",377.38,0.9901552,1123620,19.414,3.9
"KMB","Kimberly-Clark","Consumer Staples",132.66,-2.7989392,2175730,5.35,4.56
"KMI","Kinder Morgan","Energy",17.35,0.46323058,13350014,0.787,1.08
"KMX","CarMax","Consumer Discretionary",106.25,-0.4404059,1446411,7.259,0
"KO","Coca-Cola","Consumer Staples",60.96,-1.0550259,17010813,2.031,1.67
"KR","Kroger","Consumer Staples",44.77,-0.7537135,5898580,1.325,0.78
"L","Loews Corporation","Financials",61.27,0.27823567,571927,6.151,0.25
"LDOS","Leidos","Industrials",89.07,-1.0113399,619824,5.42,1.38
